"iri","notation","label"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R25","R25","Toxický při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R25","R25 (fluorid sodný) (fluorid draselný)","Toxický při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R21/22","R21/22","Zdraví škodlivý při styku s kůží a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R21","R21","Zdraví škodlivý při styku s kůží."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/23/25","R48/23/25","Toxický: nebezpečí vážného poškození zdraví při dlouhodobé expozici vdechováním a požíváním."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R43","R43","Může vyvolat senzibilizaci při styku s kůží."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R43","R43","Může vyvolat senzibilizaci při styku s kůží"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R32","R32 (fluorid sodný)","Uvolňuje vysoce toxický plyn při styku s kyselinami."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/23","R48/23","Toxický: nebezpečí vážného poškození zdraví při dlouhodobé expozici vdechováním."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/23","R48/23 (trifenylcín-hydroxid, trifenylcín-acetát)","Toxický: nebezpečí vážného poškození zdraví při dlouhodobé expozici vdechováním."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/38","R36/38","Dráždí oči a kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R36/38","R36/38 (fluorid sodný)","Dráždí oči a kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R33","R33","Nebezpečí kumulativních účinků."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R46","R46","Může vyvolat poškození dědičných vlastností."
"http://linked.opendata.cz/resource/domain/irz/vetaR/36/37/38","36/37/38","Dráždí oči, dýchací orgány a kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/42","42","Může vyvolat senzibilizaci při vdechování."
"http://linked.opendata.cz/resource/domain/irz/vetaR/43","43","Může vyvolat senzibilizaci při styku s kůží."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R10","R10","Hořlavý."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R10","R10 (HCFC-142b)","Hořlavý."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R11","R11","Vysoce hořlavý."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R20","R20","Zdraví škodlivý při vdechování"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R20","R20","Zdraví škodlivý při vdechování."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R20/21","R20/21","Zdraví škodlivý při styku s kůží a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R20/22","R20/22","Zdraví škodlivý při vdechování a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R228","R228","Vysoce toxický při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R23(chlor, chlorovodík)","R23(chlor, chlorovodík)","Toxický při vdechování."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26/27/28(kyanid sodný; kyanid draselný)","R26/27/28(kyanid sodný; kyanid draselný)","Vysoce toxický při vdechování, styku s kůží a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R27","R27","Vysoce toxický při styku s kůží."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R32(kyanid sodný; kyanid draselný)","R32(kyanid sodný; kyanid draselný)","Uvolňuje vysoce toxický plyn při styku s kyselinami."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R35","R35","Způsobuje těžké poleptání."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R35","R35 (chlorovodík)","Způsobuje těžké poleptání."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R35","R35 (fluor; fluorovodík)","Způsobuje těžké poleptání."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R37/38","R37/38","Dráždí dýchací orgány a kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R37/38","R37/38 (trifenylcín-hydroxid, trifenylcín-acetát)","Dráždí dýchací orgány a kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40","Možné nebezpečí nevratných účinků."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40","Podezření na karcinogenní účinky"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40","Podezření na karcinogenní účinky."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40 ( HCFC-22)","Možné nebezpečí nevratných účinků."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40 ( HCFC-22)","Podezření na karcinogenní účinky"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40 ( HCFC-22)","Podezření na karcinogenní účinky."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40 (dekabromdi­fenylether)","Možné nebezpečí nevratných účinků."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40 (dekabromdi­fenylether)","Podezření na karcinogenní účinky"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40 (dekabromdi­fenylether)","Podezření na karcinogenní účinky."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40 (trifenylcín-hydroxid, trifenylcín-acetát)","Možné nebezpečí nevratných účinků."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40 (trifenylcín-hydroxid, trifenylcín-acetát)","Podezření na karcinogenní účinky"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R40","R40 (trifenylcín-hydroxid, trifenylcín-acetát)","Podezření na karcinogenní účinky."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R41","R41 (Triton X-100)","Nebezpečí vážného poškození očí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R41","R41 (dekabromdi­fenylether)","Nebezpečí vážného poškození očí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R41","R41 (trifenylcín-hydroxid, trifenylcín-acetát)","Nebezpečí vážného poškození očí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R42/43","R42/43","Může vyvolat senzibilizaci při vdechování a při styku s kůží."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/20/21/22","R48/20/21/22","Zdraví škodlivý: nebezpečí vážného poškození zdraví při dlouhodobé expozici."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/23/24/25","R48/23/24/25","Toxický: nebezpečí vážného poškození zdraví při dlouhodobé expozici vdechováním, stykem s kůží a požíváním."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/24/25","R48/24/25","Toxický: nebezpečí vážného poškození zdraví při dlouhodobé expozici vdechováním a požíváním"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/24/25","R48/24/25","Toxický: nebezpečí vážného poškození zdraví při dlouhodobé expozici stykem s kůží a požíváním."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R49","R49","Může vyvolat rakovinu při vdechování."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50","R50","Vysoce toxický pro vodní organismy."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50","R50 (chlor)","Vysoce toxický pro vodní organismy."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/53(kyanid sodný; kyanid draselný)","R50/53(kyanid sodný; kyanid draselný)","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R53","R53","Může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R53","R53","Může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R53","R53 (dekabromdi­fenylether)","Může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R53","R53 (dekabromdi­fenylether)","Může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R59","R59","Nebezpečný pro ozonovou vrstvu"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R59","R59","Nebezpečný pro ozonovou vrstvu."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R59","R59","Nebezpečný pro ozónovou vrstvu."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R59","R59 (HCFC-22; HCFC-123; HCFC-124;HCFC-141b; HCFC-142b)","Nebezpečný pro ozonovou vrstvu"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R59","R59 (HCFC-22; HCFC-123; HCFC-124;HCFC-141b; HCFC-142b)","Nebezpečný pro ozonovou vrstvu."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R59","R59 (HCFC-22; HCFC-123; HCFC-124;HCFC-141b; HCFC-142b)","Nebezpečný pro ozónovou vrstvu."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R60","R60","Může poškodit reprodukční schopnost."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R61","R61","Může poškodit plod v těle matky."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R61","R61 (oktabromdi­fenylether)","Může poškodit plod v těle matky."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R62","R62","Možné nebezpečí poškození reprodukční schopnosti."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R62","R62 (oktabromdi­fenylether)","Možné nebezpečí poškození reprodukční schopnosti."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R63","R63","Možné nebezpečí poškození plodu v těle matky."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R63","R63 (trifenylcín-hydroxid, trifenylcín-acetát)","Možné nebezpečí poškození plodu v těle matky."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R64","R64","Může poškodit kojené dítě."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R64","R64","Může poškodit kojence prostřednictvím mateřského mléka."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R64","R64 (pentabrom­difenylether)","Může poškodit kojené dítě."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R64","R64 (pentabrom­difenylether)","Může poškodit kojence prostřednictvím mateřského mléka."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R7( fluor)","R7( fluor)","Může způsobit požár."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R8","R8","Dotek s hořlavým materiálem může způsobit požár"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R9","R9","Výbušný při smíchání s hořlavým materiálem."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R38","R38","Dráždí kůži"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R38","R38","Dráždí kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R38","R38 (1,2,4-trichlorbenzen)","Dráždí kůži"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R38","R38 (1,2,4-trichlorbenzen)","Dráždí kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R38","R38 (4-oktylfenol)","Dráždí kůži"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R38","R38 (4-oktylfenol)","Dráždí kůži."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/21/22","R48/21/22 (pen­tabromdifenylet­her)","Zdraví škodlivý: nebezpečí vážného poškození zdraví při dlouhodobé expozici stykem s kůží a požíváním."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/55","R50/55","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R68","R68","Možné nebezpečí nevratných účinků."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26","R26","Vysoce toxický při vdechování"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26","R26","Vysoce toxický při vdechování."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26","R26 (fluor)","Vysoce toxický při vdechování"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26","R26 (fluor)","Vysoce toxický při vdechování."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26","R26 (trifenylcín-hydroxid, trifenylcín-acetát)","Vysoce toxický při vdechování"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26","R26 (trifenylcín-hydroxid, trifenylcín-acetát)","Vysoce toxický při vdechování."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R23","R23","Toxický při vdechnutí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R23","R23","Toxický při vdechování"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R23","R23","Toxický při vdechování."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R23","R23 (fluorid draselný)","Toxický při vdechnutí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R23","R23 (fluorid draselný)","Toxický při vdechování"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R23","R23 (fluorid draselný)","Toxický při vdechování."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R22","R22","Zdraví škodlivý při požití"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R22","R22","Zdraví škodlivý při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R22","R22 (4-nonylfenol)","Zdraví škodlivý při požití"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R22","R22 (4-nonylfenol)","Zdraví škodlivý při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R22","R22 (Triton X-100)","Zdraví škodlivý při požití"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R22","R22 (Triton X-100)","Zdraví škodlivý při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R22","R22 (1,2,4-trichlorbenzen; 1,3,5-trichlorbenzen; 1,2,3-trichlorbenzen)","Zdraví škodlivý při požití"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R22","R22 (1,2,4-trichlorbenzen; 1,3,5-trichlorbenzen; 1,2,3-trichlorbenzen)","Zdraví škodlivý při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26/27/28","R26/27/28","Vysoce toxický při vdechování, styku s kůží a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26/27/28","R26/27/28 (fluorovodík)","Vysoce toxický při vdechování, styku s kůží a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R28","R28","Vysoce toxický při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R48/22","R48/22","Zdraví škodlivý: nebezpečí vážného poškození zdraví při dlouhodobé expozici požíváním."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R26/27","R26/27","Vysoce toxický při vdechování a při styku s kůží."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R24","R24","Toxický při styku s kůží."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R24","R24 (fluorid draselný)","Toxický při styku s kůží."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R51/53","R51/53","Toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R51/53","R51/53 (1,3,5-trichlorbenzen; 1,2,3-trichlorbenzen)","Toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R24/25","R24/25 (trifenylcín-hydroxid, trifenylcín-acetát)","Toxický: nebezpečí velmi vážných nevratných účinků při vdechování a požití"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R24/25","R24/25 (trifenylcín-hydroxid, trifenylcín-acetát)","Toxický při styku s kůží a při požití"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R24/25","R24/25 (trifenylcín-hydroxid, trifenylcín-acetát)","Toxický při styku s kůží a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R24/25","R24/25","Toxický: nebezpečí velmi vážných nevratných účinků při vdechování a požití"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R24/25","R24/25","Toxický při styku s kůží a při požití"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R24/25","R24/25","Toxický při styku s kůží a při požití."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R52/53","R52/53","Škodlivý pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R52/53","R52/53 (4-nonylfenol)","Škodlivý pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R52/53","R52/53 (HCFC-141b)","Škodlivý pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/53","R50/53","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/53","R50/53","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/53","R50/53 (1,2,4-trichlorbenzen)","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/53","R50/53 (1,2,4-trichlorbenzen)","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/53","R50/53 (pentabrom­difenylether)","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/53","R50/53 (pentabrom­difenylether)","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/53","R50/53 (trifenylcín-hydroxid, trifenylcín-acetát, trifenylcín-chlorid)","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí"
"http://linked.opendata.cz/resource/domain/irz/vetaR/R50/53","R50/53 (trifenylcín-hydroxid, trifenylcín-acetát, trifenylcín-chlorid)","Vysoce toxický pro vodní organismy, může vyvolat dlouhodobé nepříznivé účinky ve vodním prostředí."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R12","R12","Extrémně hořlavý."
"http://linked.opendata.cz/resource/domain/irz/vetaR/R37","R37 (4-oktylfenol)","Dráždí dýchací orgány."
